trip_id,vendorid,datetime_id,passenger_count_id,trip_distance_id,ratecode_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type_id,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1523,2,77309595819,2,1684,1,N,46,146,0,70,5,0.5,15,6.94,1,102.69
1524,2,77309595820,3,1815,1,N,46,146,1,70,5,0.5,0,6.94,1,87.69
1525,2,77309675608,3,2411,1,N,46,146,0,70,0,0.5,15,6.94,1,97.69
1525,2,77309648248,3,2411,1,N,46,146,0,70,0,0.5,15,6.94,1,97.69
1525,2,77309636928,3,2411,1,N,46,146,0,70,0,0.5,15,6.94,1,97.69
1525,2,77309595821,3,2411,1,N,46,146,0,70,0,0.5,15,6.94,1,97.69
1526,2,77309595822,2,1820,1,N,46,146,0,70,0,0.5,16.19,6.94,1,98.88
1527,2,77309678822,2,1799,1,N,46,146,0,70,0,0.5,16.54,6.94,1,99.23
1527,2,77309668831,2,1799,1,N,46,146,0,70,0,0.5,16.54,6.94,1,99.23
1527,2,77309658806,2,1799,1,N,46,146,0,70,0,0.5,16.54,6.94,1,99.23
1527,2,77309616135,2,1799,1,N,46,146,0,70,0,0.5,16.54,6.94,1,99.23
1527,2,77309595823,2,1799,1,N,46,146,0,70,0,0.5,16.54,6.94,1,99.23
1528,1,77309595824,2,1770,1,N,46,146,0,70,4.25,0.5,16.5,6.94,1,99.19
1529,2,77309626086,2,1756,1,N,46,146,0,70,0,0.5,16.54,6.94,1,99.23
1529,2,77309595825,2,1756,1,N,46,146,0,70,0,0.5,16.54,6.94,1,99.23
1530,2,77309673526,2,1841,1,N,46,146,1,70,0,0.5,0,6.94,1,82.69
1530,2,77309595826,2,1841,1,N,46,146,1,70,0,0.5,0,6.94,1,82.69
1531,2,77309595827,2,1841,1,N,46,146,0,70,0,0.5,16.54,6.94,1,99.23
1532,2,77309602782,2,1811,1,N,46,146,0,70,0,0.5,16.54,6.94,1,99.23
1532,2,77309595828,2,1811,1,N,46,146,0,70,0,0.5,16.54,6.94,1,99.23
1533,2,77309628853,2,1797,1,N,46,146,0,70,0,0.5,16.19,6.94,1,98.88
1533,2,77309595829,2,1797,1,N,46,146,0,70,0,0.5,16.19,6.94,1,98.88
1534,2,77309662377,3,1846,1,N,46,146,1,70,0,0.5,0,6.94,1,82.69
1534,2,77309648505,3,1846,1,N,46,146,1,70,0,0.5,0,6.94,1,82.69
1534,2,77309595830,3,1846,1,N,46,146,1,70,0,0.5,0,6.94,1,82.69
1535,2,77309671456,3,1779,1,N,46,146,0,70,0,0.5,3,6.94,1,85.69
1535,2,77309595831,3,1779,1,N,46,146,0,70,0,0.5,3,6.94,1,85.69
1536,2,77309655014,3,1724,1,N,46,146,3,-70,0,-0.5,0,-20,-1,-95.75
1536,2,77309642088,3,1724,1,N,46,146,3,-70,0,-0.5,0,-20,-1,-95.75
1536,2,77309595833,3,1724,1,N,46,146,3,-70,0,-0.5,0,-20,-1,-95.75
1536,2,77309595832,3,1724,1,N,46,146,3,-70,0,-0.5,0,-20,-1,-95.75
1537,2,77309655014,3,1724,1,N,46,146,3,70,0,0.5,0,20,1,95.75
1537,2,77309642088,3,1724,1,N,46,146,3,70,0,0.5,0,20,1,95.75
1537,2,77309595833,3,1724,1,N,46,146,3,70,0,0.5,0,20,1,95.75
1537,2,77309595832,3,1724,1,N,46,146,3,70,0,0.5,0,20,1,95.75
